,대여일자,대여건수
0,2023-01-01,38037
1,2023-01-02,56609
2,2023-01-03,61252
3,2023-01-04,67721
4,2023-01-05,68711
5,2023-01-06,63125
6,2023-01-07,42492
7,2023-01-08,44620
8,2023-01-09,74134
9,2023-01-10,80604
10,2023-01-11,81988
11,2023-01-12,87595
12,2023-01-13,20792
13,2023-01-14,25896
14,2023-01-15,21415
15,2023-01-16,61311
16,2023-01-17,67337
17,2023-01-18,71361
18,2023-01-19,68359
19,2023-01-20,51398
20,2023-01-21,30226
21,2023-01-22,22752
22,2023-01-23,30880
23,2023-01-24,15265
24,2023-01-25,38329
25,2023-01-26,24340
26,2023-01-27,40221
27,2023-01-28,35890
28,2023-01-29,38347
29,2023-01-30,65611
30,2023-01-31,74828
31,2023-02-01,72476
32,2023-02-02,70755
33,2023-02-03,72693
34,2023-02-04,57939
35,2023-02-05,53806
36,2023-02-06,81306
37,2023-02-07,86528
38,2023-02-08,86848
39,2023-02-09,89612
40,2023-02-10,68845
41,2023-02-11,70625
42,2023-02-12,60692
43,2023-02-13,91952
44,2023-02-14,89966
45,2023-02-15,94666
46,2023-02-16,87394
47,2023-02-17,95472
48,2023-02-18,72419
49,2023-02-19,57600
50,2023-02-20,75725
51,2023-02-21,81584
52,2023-02-22,90322
53,2023-02-23,94719
54,2023-02-24,92586
55,2023-02-25,68023
56,2023-02-26,66858
57,2023-02-27,97898
58,2023-02-28,102196
59,2023-03-01,79638
60,2023-03-02,95453
61,2023-03-03,107215
62,2023-03-04,97286
63,2023-03-05,95137
64,2023-03-06,121403
65,2023-03-07,132494
66,2023-03-08,126428
67,2023-03-09,109299
68,2023-03-10,138823
69,2023-03-11,129567
70,2023-03-12,40919
71,2023-03-13,103769
72,2023-03-14,130020
73,2023-03-15,123017
74,2023-03-16,118553
75,2023-03-17,128106
76,2023-03-18,114617
77,2023-03-19,110627
78,2023-03-20,131591
79,2023-03-21,150433
80,2023-03-22,154551
81,2023-03-23,146757
82,2023-03-24,149034
83,2023-03-25,136959
84,2023-03-26,121288
85,2023-03-27,137985
86,2023-03-28,151848
87,2023-03-29,161395
88,2023-03-30,167433
89,2023-03-31,173890
90,2023-04-01,171977
91,2023-04-02,172417
92,2023-04-03,181275
93,2023-04-04,136861
94,2023-04-05,23103
95,2023-04-06,62143
96,2023-04-07,140643
97,2023-04-08,131981
98,2023-04-09,131332
99,2023-04-10,163117
100,2023-04-11,105357
101,2023-04-12,143620
102,2023-04-13,148980
103,2023-04-14,167790
104,2023-04-15,97305
105,2023-04-16,112187
106,2023-04-17,160891
107,2023-04-18,106064
108,2023-04-19,180747
109,2023-04-20,150795
110,2023-04-21,177951
111,2023-04-22,158022
112,2023-04-23,140444
113,2023-04-24,170623
114,2023-04-25,88208
115,2023-04-26,153562
116,2023-04-27,174520
117,2023-04-28,165729
118,2023-04-29,51329
119,2023-04-30,113123
120,2023-05-01,169163
121,2023-05-02,181358
122,2023-05-03,191700
123,2023-05-04,177946
124,2023-05-05,15582
125,2023-05-06,38108
126,2023-05-07,122748
127,2023-05-08,178650
128,2023-05-09,186373
129,2023-05-10,188820
130,2023-05-11,188666
131,2023-05-12,191294
132,2023-05-13,164530
133,2023-05-14,159839
134,2023-05-15,191110
135,2023-05-16,191713
136,2023-05-17,193524
137,2023-05-18,175236
138,2023-05-19,200052
139,2023-05-20,170201
140,2023-05-21,146665
141,2023-05-22,178834
142,2023-05-23,199093
143,2023-05-24,197705
144,2023-05-25,194905
145,2023-05-26,195431
146,2023-05-27,31642
147,2023-05-28,4992
148,2023-05-29,142076
149,2023-05-30,188617
150,2023-05-31,196321
151,2023-06-01,199164
152,2023-06-02,201999
153,2023-06-03,170766
154,2023-06-04,155376
155,2023-06-05,194306
156,2023-06-06,167366
157,2023-06-07,196585
158,2023-06-08,169188
159,2023-06-09,193084
160,2023-06-10,141922
161,2023-06-11,131271
162,2023-06-12,183371
163,2023-06-13,203584
164,2023-06-14,189563
165,2023-06-15,199265
166,2023-06-16,200404
167,2023-06-17,164879
168,2023-06-18,140332
169,2023-06-19,181878
170,2023-06-20,161787
171,2023-06-21,93551
172,2023-06-22,192382
173,2023-06-23,196517
174,2023-06-24,155928
175,2023-06-25,133566
176,2023-06-26,59288
177,2023-06-27,179792
178,2023-06-28,185929
179,2023-06-29,35326
180,2023-06-30,155252
181,2023-07-01,138848
182,2023-07-02,132519
183,2023-07-03,171026
184,2023-07-04,79773
185,2023-07-05,171939
186,2023-07-06,185517
187,2023-07-07,191206
188,2023-07-08,154423
189,2023-07-09,81833
190,2023-07-10,159154
191,2023-07-11,56819
192,2023-07-12,168418
193,2023-07-13,41165
194,2023-07-14,24226
195,2023-07-15,69393
196,2023-07-16,93350
197,2023-07-17,147346
198,2023-07-18,118187
199,2023-07-19,173226
200,2023-07-20,169877
201,2023-07-21,160865
202,2023-07-22,84758
203,2023-07-23,31837
204,2023-07-24,161070
205,2023-07-25,158705
206,2023-07-26,146479
207,2023-07-27,159895
208,2023-07-28,153268
209,2023-07-29,119933
210,2023-07-30,81868
211,2023-07-31,145077
212,2023-08-01,152764
213,2023-08-02,153384
214,2023-08-03,152246
215,2023-08-04,147761
216,2023-08-05,112326
217,2023-08-06,96077
218,2023-08-07,145554
219,2023-08-08,153593
220,2023-08-09,155572
221,2023-08-10,9333
222,2023-08-11,47228
223,2023-08-12,102782
224,2023-08-13,119034
225,2023-08-14,156353
226,2023-08-15,132095
227,2023-08-16,169885
228,2023-08-17,170943
229,2023-08-18,161698
230,2023-08-19,134303
231,2023-08-20,122592
232,2023-08-21,163981
233,2023-08-22,101681
234,2023-08-23,57844
235,2023-08-24,148749
236,2023-08-25,173593
237,2023-08-26,149424
238,2023-08-27,126015
239,2023-08-28,66917
240,2023-08-29,63964
241,2023-08-30,100739
242,2023-08-31,187063
243,2023-09-01,196234
244,2023-09-02,167368
245,2023-09-03,136338
246,2023-09-04,178038
247,2023-09-05,174696
248,2023-09-06,187670
249,2023-09-07,131889
250,2023-09-08,196674
251,2023-09-09,167334
252,2023-09-10,153532
253,2023-09-11,199362
254,2023-09-12,201165
255,2023-09-13,53263
256,2023-09-14,194667
257,2023-09-15,116772
258,2023-09-16,94644
259,2023-09-17,135100
260,2023-09-18,200344
261,2023-09-19,202886
262,2023-09-20,37782
263,2023-09-21,198839
264,2023-09-22,211000
265,2023-09-23,186459
266,2023-09-24,167382
267,2023-09-25,157395
268,2023-09-26,27143
269,2023-09-27,141358
270,2023-09-28,126058
271,2023-09-29,103986
272,2023-09-30,103695
273,2023-10-01,151020
274,2023-10-02,171036
275,2023-10-03,167059
276,2023-10-04,132537
277,2023-10-05,186080
