,대여일자,대여건수
278,2023-10-06,200078
279,2023-10-07,176986
280,2023-10-08,141615
281,2023-10-09,151130
282,2023-10-10,195286
283,2023-10-11,204173
284,2023-10-12,201396
285,2023-10-13,203659
286,2023-10-14,111638
287,2023-10-15,159332
288,2023-10-16,189744
289,2023-10-17,191776
290,2023-10-18,193924
291,2023-10-19,118197
292,2023-10-20,170244
293,2023-10-21,132500
294,2023-10-22,134066
295,2023-10-23,184120
296,2023-10-24,187766
297,2023-10-25,192778
298,2023-10-26,164556
299,2023-10-27,192266
300,2023-10-28,160764
301,2023-10-29,147452
302,2023-10-30,186956
303,2023-10-31,193108
304,2023-11-01,187987
305,2023-11-02,202591
306,2023-11-03,160432
307,2023-11-04,161023
308,2023-11-05,59274
309,2023-11-06,47700
310,2023-11-07,138377
311,2023-11-08,159097
312,2023-11-09,134271
313,2023-11-10,129657
314,2023-11-11,87798
315,2023-11-12,68275
316,2023-11-13,117868
317,2023-11-14,136266
318,2023-11-15,147369
319,2023-11-16,58048
320,2023-11-17,106103
321,2023-11-18,74022
322,2023-11-19,84580
323,2023-11-20,133538
324,2023-11-21,142667
325,2023-11-22,148945
326,2023-11-23,131152
327,2023-11-24,99893
328,2023-11-25,70554
329,2023-11-26,71061
330,2023-11-27,77697
331,2023-11-28,109150
332,2023-11-29,100192
333,2023-11-30,88350
334,2023-12-01,92493
335,2023-12-02,72805
336,2023-12-03,64171
337,2023-12-04,109554
338,2023-12-05,124074
339,2023-12-06,88354
340,2023-12-07,120227
341,2023-12-08,131896
342,2023-12-09,104904
343,2023-12-10,90687
344,2023-12-11,21196
345,2023-12-12,107450
346,2023-12-13,122098
347,2023-12-14,32536
348,2023-12-15,29494
349,2023-12-16,35059
350,2023-12-17,29901
351,2023-12-18,62249
352,2023-12-19,66154
353,2023-12-20,42819
354,2023-12-21,45353
355,2023-12-22,46935
356,2023-12-23,41327
357,2023-12-24,27591
358,2023-12-25,27330
359,2023-12-26,74783
360,2023-12-27,82145
361,2023-12-28,82354
362,2023-12-29,84168
363,2023-12-30,15214
364,2023-12-31,29130
